"rep","K","method","rr_obs","weight_var","min_weight","max_weight","margin_error","cov_mae_X","cov_abs_err_y"
1,2,"standard",0.350333333333333,0.174692052297975,0.599730009670373,1.89765155967977,3.44169137633799e-15,0.0150720886250802,0.0319298447445147
1,2,"constrained",0.350333333333333,0.174692052297975,0.599730009670373,1.89765155967977,3.44169137633799e-15,0.0150720886250802,0.0319298447445147
1,3,"standard",0.350333333333333,0.303101625006178,0.464223237005321,2.92967423673663,7.35844718491308e-12,0.0209334003344576,0.00738256819478389
1,3,"constrained",0.350333333333333,0.303101625006178,0.464223237005321,2.92967423673663,7.35844718491308e-12,0.0209334003344576,0.00738256819478389
1,4,"standard",0.350333333333333,0.395780023154102,0.379914097507395,4.17722560507303,1.13096199072515e-11,0.0177371881697118,0.0239342820339095
1,4,"constrained",0.350333333333333,0.395780023154102,0.379914097507395,4.17722560507303,1.13096199072515e-11,0.0177371881697118,0.0239342820339095
1,5,"standard",0.350333333333333,0.48317187332113,0.308651306173235,5.1378394445592,1.23427934539677e-11,0.0144930983045575,0.0321165399693395
1,5,"constrained",0.350333333333333,0.49250482656816,0.350333333333333,5.24351632047475,8.40827907300223e-10,0.0134476425876864,0.0316083260582622
1,6,"standard",0.350333333333333,0.534770549177002,0.285807406101453,5.64100158542686,1.15662590616239e-10,0.0110168444383754,0.0679289803921923
1,6,"constrained",0.350333333333333,0.548522821773733,0.360942309250861,5.78482516559226,2.34000707699522e-10,0.0108887146096092,0.0660222785238695
1,7,"standard",0.350333333333333,0.590662424422664,0.245988725651839,7.26512436101249,3.37235406266956e-10,0.0115540943605964,0.0640526200769722
1,7,"constrained",0.350333333333333,0.608488997274663,0.357924126073063,7.5159393449976,7.26808335738127e-10,0.0109938760597866,0.0611370136731613
1,8,"standard",0.350333333333333,0.596465137952127,0.235728736455852,7.4779467261468,1.92629034945213e-09,0.00976876010583032,0.0642254196471679
1,8,"constrained",0.350333333333333,0.615305803020162,0.355131248627715,7.74764994339522,1.77461478845231e-09,0.0093553001480322,0.0605541815677553
1,9,"standard",0.350333333333333,0.61206371767391,0.219405272959014,7.94155615902381,1.12377995797885e-10,0.010402053674649,0.0653226119753751
1,9,"constrained",0.350333333333333,0.634794490197827,0.350333388192312,8.28372229935675,3.32296190563852e-10,0.009991387168036,0.0608381087632988
1,10,"standard",0.350333333333333,0.628045020496179,0.207131211690661,8.52251000357009,8.32165558684039e-10,0.0101365853816227,0.0634709600273415
1,10,"constrained",0.350333333333333,0.653964491244197,0.350333634525286,8.9332170303122,1.61491986450102e-09,0.00980148459572159,0.0573211884316773
2,2,"standard",0.354333333333333,0.220002948016741,0.573749143908324,2.07384134971197,3.1641356201817e-14,0.0158905193609421,0.183271934628154
