"rep","method","rr_obs","y_mean_bias","y_mean_abs_err","weight_var","min_weight","max_weight"
1,"standard",0.435,0.0312814168936952,0.0312814168936952,0.75047329425845,0.332991406701715,5.29923758682553
1,"constrained",0.435,0.0290050569196933,0.0290050569196933,0.768075148438,0.435,5.51251420192885
1,"oracle_ipw",0.435,0.022756365649766,0.022756365649766,1.17696847559615,0.44153545708019,8.09133552177599
2,"standard",0.451666666666667,-0.104116246303767,0.104116246303767,0.814162542001329,0.273808010701479,5.70467440699598
2,"constrained",0.451666666666667,-0.10973675567733,0.10973675567733,0.876021068209442,0.451666666666667,6.41236569367151
2,"oracle_ipw",0.451666666666667,-0.187447001111794,0.187447001111794,1.32506417670177,0.455474146541306,14.9099309189855
3,"standard",0.456666666666667,0.112037142008053,0.112037142008053,1.00925051349184,0.268656189185685,7.34318268921661
3,"constrained",0.456666666666667,0.0928451345555196,0.0928451345555196,1.15733799045317,0.456666666666667,8.94622515074824
3,"oracle_ipw",0.456666666666667,0.084520948488381,0.084520948488381,0.997710449073874,0.468465993046383,7.00599325670395
4,"standard",0.443333333333333,0.140557705523271,0.140557705523271,0.786087153302743,0.309503834228622,5.85873491287378
4,"constrained",0.443333333333333,0.139702310339851,0.139702310339851,0.827486276836235,0.443333333333333,6.33159313664262
4,"oracle_ipw",0.443333333333333,0.135998109612631,0.135998109612631,1.11953293906345,0.455486925968858,8.49594270569645
5,"standard",0.458333333333333,-0.0151082180397103,0.0151082180397103,0.75321328152599,0.313549461526504,5.58489274595307
5,"constrained",0.458333333333333,-0.0192053495792159,0.0192053495792159,0.797342780463802,0.458333333333333,6.09150786431823
5,"oracle_ipw",0.458333333333333,0.00398204874997283,0.00398204874997283,1.3844797895704,0.424383957292325,9.5187702847553
6,"standard",0.478333333333333,-0.0814921803524725,0.0814921803524725,0.662961376964906,0.354109324091242,4.93247121370661
6,"constrained",0.478333333333333,-0.0907154936290428,0.0907154936290428,0.70536146292204,0.478333333333333,5.36499156347806
6,"oracle_ipw",0.478333333333333,-0.169726710570822,0.169726710570822,1.36107440166862,0.419751078010281,12.8007341268685
7,"standard",0.453888888888889,0.0158369869337054,0.0158369869337054,0.686437096485618,0.373520175400048,4.65299155497571
